"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gndbhnut  ","P",01/10/2019 13:43,0,1,1         ,1         ,"",0.006,<0>  ,0.105,<0>  ,"","","","",0.012,<0>  ,7.17,<0>  ,
"gndbhnut  ","P",01/10/2019 13:44,0,1,1         ,2         ,"",0.008,<0>  ,0.096,<0>  ,"","","","",0.007,<0>  ,6.97,<0>  ,
"gndbhnut  ","P",02/22/2019 12:32,0,1,1         ,1         ,"",0.002,<0>  ,0.073,<0>  ,"","","","",0.007,<0>  ,8.97,<0>  ,
"gndbhnut  ","P",02/22/2019 12:33,0,1,1         ,2         ,"",0.004,<0>  ,0.058,<0>  ,"","","","",0.009,<0>  ,13.79,<0>  ,
"gndbhnut  ","P",03/21/2019 10:40,0,1,1         ,1         ,"",0.005,<0>  ,0.005,<0>  ,"","","","",0.005,<-4> [SBL] ,21.1,<0>  ,
"gndbhnut  ","P",03/21/2019 10:41,0,1,1         ,2         ,"",0.003,<0>  ,0.006,<0>  ,"","","","",0.005,<-4> [SBL] ,18.74,<0>  ,
"gndbhnut  ","P",04/15/2019 6:37,0,1,1         ,1         ,"",0.002,<0>  ,0.091,<0>  ,"","","","",0.007,<0>  ,6.89,<0>  ,
"gndbhnut  ","P",04/15/2019 6:38,0,1,1         ,2         ,"",0.003,<0>  ,0.07,<0>  ,"","","","",0.008,<0>  ,3.96,<0>  ,
"gndbhnut  ","P",05/14/2019 16:10,0,1,1         ,1         ,"",0.004,<0>  ,0.029,<0>  ,"","","","",0.009,<0>  ,2.2,<0>  ,
"gndbhnut  ","P",05/14/2019 16:11,0,1,1         ,2         ,"",0.004,<0>  ,0.031,<0>  ,"","","","",0.012,<0>  ,2.23,<0>  ,
"gndbhnut  ","P",06/12/2019 14:22,0,1,1         ,1         ,"",0.004,<0>  ,0.036,<0>  ,"","","","",0.006,<0>  ,8.61,<0>  ,
"gndbhnut  ","P",06/12/2019 14:23,0,1,1         ,2         ,"",0.002,<0>  ,0.027,<0>  ,"","","","",0.005,<0>  ,9.88,<0>  ,
"gndbhnut  ","P",07/25/2019 14:31,0,1,1         ,1         ,"",0.003,<0>  ,0.027,<0>  ,"","","","",0.011,<0>  ,14.22,<0>  ,
"gndbhnut  ","P",07/25/2019 14:32,0,1,1         ,2         ,"",0.004,<0>  ,0.036,<0>  ,"","","","",0.01,<0>  ,12.67,<0>  ,
"gndbhnut  ","P",08/22/2019 13:31,0,1,1         ,1         ,"{CAB} {CSM}",0.005,<0>  ,0.005,<0>  ,"","","","","",<-2> [GDM] (CSM) ,6.4,<0>  ,
"gndbhnut  ","P",08/22/2019 13:32,0,1,1         ,2         ,"{CAB} {CSM}",0.004,<0>  ,0.015,<0>  ,"","","","",0.005,<-4> [SBL] ,5.01,<0>  ,
"gndbhnut  ","P",09/18/2019 10:41,0,1,1         ,1         ,"",0.009,<0>  ,0.002,<-4> [SBL] ,"","","","",0.005,<-4> [SBL] ,16.67,<0>  ,
"gndbhnut  ","P",09/18/2019 10:42,0,1,1         ,2         ,"",0.008,<0>  ,0.002,<-4> [SBL] ,"","","","",0.005,<-4> [SBL] ,12.67,<0>  ,
"gndbhnut  ","P",10/17/2019 8:21,0,1,1         ,1         ,"",0.002,<-4> [SBL] ,0.052,<0>  ,"","","","",0.006,<0>  ,10.66,<0>  ,
"gndbhnut  ","P",10/17/2019 8:22,0,1,1         ,2         ,"",0.002,<-4> [SBL] ,0.063,<0>  ,"","","","",0.005,<0>  ,7.43,<0>  ,
"gndbhnut  ","P",11/20/2019 14:18,0,1,1         ,1         ,"",0.003,<0>  ,0.002,<0>  ,"","","","","",<-2> (CSM) ,16.18,<0>  ,
"gndbhnut  ","P",11/20/2019 14:19,0,1,1         ,2         ,"",0.003,<0>  ,0.002,<0>  ,"","","","","",<-2> (CSM) ,16.55,<0>  ,
"gndbhnut  ","P",12/19/2019 14:01,0,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,19.08,<0>  ,
"gndbhnut  ","P",12/19/2019 14:02,0,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,24.65,<0>  ,

